文章出处  文章内容  文章链接
科学  SpaceX原本希望在周四为美国政府发射一颗间谍卫星，但这次发射被推迟到周五，而现在这一发射计划又被推迟了。此次发射，将为美国国家侦察局（NRO）发射一颗间谍卫星，新的发射时间暂定在周六。第二次推迟与猎鹰9号火箭第二级助推器的问题有关。  http://www.cnbeta.com/articles/science/1067675.htm
科学  据外媒The Verge报道，在大多数情况下，交替使用“批准”（approval）和 “授权”（authorization）是完全可以接受的。但在美国食品和药物管理局（FDA），以及在涉及COVID-19疫苗时，绝对不能这样做。“批准”意味着FDA已经正式决定一个产品在其指定用途上是安全有效的。批准的过程包括对产品所有可用数据的严格审查，可能需要几个月的时间。  http://www.cnbeta.com/articles/science/1067671.htm
科学  据外媒BGR报道，一个独立的审查小组以压倒性的优势投票赞成对Moderna的新冠候选疫苗进行紧急使用授权（EUA）。该小组建议FDA为Moderna疫苗颁发EUA，就在为辉瑞/BioNTech药物提出同样建议的一周后。该机构预计将在当地时间周五发布紧急使用授权，疫苗接种可能最快在周一开始。  http://www.cnbeta.com/articles/science/1067665.htm
科学  美国航天局已经用阿贝尔2261星系团对钱德拉X射线天文台和哈勃空间望远镜进行了训练。该星系团距离地球约27亿光年。天文学家认为，阿贝尔2261和宇宙中大多数大星系一样，其中心应该有一个巨大的黑洞。预计黑洞的质量是太阳质量的30亿到1000亿倍之间，但现在已经无法找到这个黑洞。  http://www.cnbeta.com/articles/science/1067593.htm
科学  “大爆炸宇宙论”是现代宇宙学中最有影响的一种学说，其主要有三大观测支持，分别是哈勃定律、宇宙微波背景辐射和原初元素丰度。但关于大爆炸宇宙论还有一些疑点，就是元素锂丰度问题。  http://www.cnbeta.com/articles/science/1067565.htm
科学  最近，嫦娥五号带着希望与祝福奔向月球“挖土”，受到了全国人民的热切关注。终于，嫦娥五号回来了！带着“土特产”——月壤回来了！北京时间12月17日1时59分，嫦娥五号返回器在内蒙古四子王旗预定区域成功着陆，标志着中国首次月球采样返回任务圆满完成。  http://www.cnbeta.com/articles/science/1067547.htm
科学  联合发射联盟（United Launch Alliance，简称ULA）首席执行官表示，预计到明年夏天，将会收到亿万富翁杰夫·贝索斯（Jeff Bezos）的蓝色起源（Blue Origin）公司提供的两个新火箭引擎。联合发射联盟是一家由波音（Boeing）公司和洛克希德·马丁（Lockheed Martin）公司联合打造的合资火箭企业。  http://www.cnbeta.com/articles/science/1067511.htm
科学  据当地媒体近日报道，以色列新火箭初创公司推出采用了凝胶燃料的“新一代”火箭发动机，其低成本且环保。公司首席执行官伊兰·哈雷尔说，其发动机适用于各种飞行器，满足太空探索和国防用途。  http://www.cnbeta.com/articles/science/1067479.htm
科学  12月17日1时59分，嫦娥五号返回器携带2公斤月球样品在内蒙古四子王旗预定区域安全着陆，标志着我国首次地外天体采样返回任务圆满完成。对于地面应用系统的科学家来说，月球样品的科研工作才刚刚开始。  http://www.cnbeta.com/articles/science/1067477.htm
科学  波音与洛克希德马丁合资的火箭公司United Launch Alliance（ULA）周五表示，预计将于明年夏天收到贝佐斯旗下蓝色起源公司交付的两台BE-4可回收火箭发动机。  http://www.cnbeta.com/articles/science/1067469.htm
科学  据外媒报道，投行摩根士丹利的分析师Adam Jones在今日发表的最新评论中推测，进入基于量子计算的太空通信领域对SpaceX来说具有巨大的潜力。Jones认为，通过将量子通信的原理应用到太空领域SpaceX有望让操作模型得到进一步的多样化。  http://www.cnbeta.com/articles/science/1067451.htm
科学  据希腊《中希时报》报道，当地时间17日，希腊新冠疫苗接种计划有关程序正式启动，国家疫苗接种委员会向全国1018个疫苗接种中心发放了培训手册。报道称，根据国家疫苗接种委员会的培训手册，优先接种疫苗的群体是医务人员、养老院的老人和护工、慢性病患者和康复中心的护理人员，以及基于年龄和潜在疾病形成的弱势群体。  http://www.cnbeta.com/articles/science/1067427.htm
科学  作为全世界平均海拔最高的南极洲，近期却发生了一天上千次地震的罕见情况。据外媒报道，来自智利大学的一项最新研究显示，自今年8月底以来，南极洲发生地震的次数超过了3万次，严重的时候每天会有上千次地震。  http://www.cnbeta.com/articles/science/1067409.htm
科学  外媒报道称，美国（NASA）与欧洲宇航局（ESA）正计划将一小部分火星样品带回地球，且该项目已经迈出了最初的一步（Phase A）。NASA 在今日的一份公告中称，火星样本返回（MSR）任务将需要成熟的关键技术和诸多努力。不过鉴于包括中国在内的探月工程已经取得了相当多的积极进展，我们对 NASA 的火星 MSR 采样任务也充满了信心。  http://www.cnbeta.com/articles/science/1067395.htm
科学  Omega-3 脂肪酸补充剂通常以鱼油胶囊的形式出售，由于有研究表明其对大脑和心脏健康有益处，因此很受欢迎。过去的一些研究提出了关于这些补充剂是否会增加“坏 ”胆固醇水平的问题。现在一项新研究可能为这一问题提供了答案。  http://www.cnbeta.com/articles/science/1067375.htm
科学  一项新研究警告称，经常食用薯片、微波餐和其他方便食品等超加工食品，可能为心脏病铺平道路，并大幅增加死于心脏病的风险。研究结果来自I.R.C.C.S.Neuromed的流行病学和预防部，研究人员发现整体死亡风险增加与超加工食品有关。  http://www.cnbeta.com/articles/science/1067367.htm
科学  北京时间12月18日消息，据国外媒体报道，人们在幻想穿越回过去时，多半想象不到，过去的气味与现代可谓截然不同。古人的说话方式与我们不一样，穿着打扮看上去也很奇怪。但最令人震惊的还是街上的气味。假如你穿回19世纪的柏林，一股强烈的马粪味便会立即扑面而来。在你的所有感觉器官中，鼻子捕捉到的变化也许是最为敏锐的。  http://www.cnbeta.com/articles/science/1067357.htm
科学  美国宇航局（NASA）的火星InSight着陆器为该航天局提供了一些关于红色星球运作的有趣见解。其中最令人惊讶的是，火星地震的行为与地震有很大不同，科学家们目前仍无法确定其中的原因。  http://www.cnbeta.com/articles/science/1067347.htm
科学  据外媒BGR报道，一个科学家团队认为，他们可能已经探测到了一颗遥远的系外行星的无线电信号，这将是第一次从系外行星上收集到的无线电信号。这颗行星距离地球大约51光年，虽然对于信号是来自这颗行星还是它所围绕运行的双星系统仍有一些争论，但数据似乎表明这颗行星在“说话”。如果得到证实，这可能是朝着进一步研究我们附近的系外行星迈出的一大步，比以往任何时候都更加详细。  http://www.cnbeta.com/articles/science/1067337.htm
科学  据外媒BGR报道，虽然英国和美国正在进行新冠疫苗接种，但研究人员和健康专家仍然不能说COVID-19免疫力能持续多久。美国“曲率极速行动”(Operation Warp Speed)负责人Moncef Slaoui在最近的一次采访中分享了有关疫苗对新冠病毒免疫力的鼓舞人心的消息。这位健康专家表示，疫苗可能会在有限的时间内预防感染，但他预计这些药物在免疫后的3年内都能防止严重的COVID-19症状。  http://www.cnbeta.com/articles/science/1067331.htm
科学  据外媒报道，无色聚酰亚胺(CPI)是一种灵活、透明的玻璃替代品，它被越来越多地利用到可弯曲的智能手机屏幕。然而，它仍会破裂，这就是为什么科学家现在开发了一种自我修复版本的材料--其包含了亚麻籽油。  http://www.cnbeta.com/articles/science/1067315.htm
科学  美国宇航局（NASA）太空飞行负责人Kathy Lueders近日参加了TechCrunch Sessions：她与科学家和Netflix主持人Emily Calandrelli讨论了她在该机构的工作-包括NASA在阿尔忒弥斯计划中的进展以及阿尔忒弥斯宇航员重返月球的目标。  http://www.cnbeta.com/articles/science/1067311.htm
